Season,Name,Team,BABIP,PA,GB,LD,FB,IFFB,GB/FB,HR/FB,O-Swing (pfx),Z-Swing (pfx),Swing (pfx),O-Contact (pfx),Z-Contact (pfx),Contact (pfx),Zone (pfx),playerid
2012,Kevin Youkilis,- - -,.268,509,42.9 ,20.7 ,36.3 ,9.9 ,1.18,15.7 ,18.6 ,52.7 ,36.8 ,55.7 ,89.6 ,81.6 ,53.4 ,1935
2004,Rocco Baldelli,Devil Rays,.307,565,52.2 ,13.3 ,34.4 ,12.2 ,1.52,10.9 , , , , , , , ,1656
2004,Bobby Higginson,Tigers,.275,531,37.2 ,16.4 ,46.4 ,8.2 ,0.80,7.1 , , , , , , , ,469
2008,Michael Young,Rangers,.323,708,46.7 ,22.5 ,30.8 ,3.0 ,1.51,7.2 ,25.7 ,65.1 ,46.5 ,70.7 ,87.6 ,83.2 ,52.9 ,1286
2004,Daryle Ward,Pirates,.246,321,37.5 ,15.5 ,47.0 ,16.9 ,0.80,12.7 , , , , , , , ,579
2011,Alberto Callaspo,Angels,.310,536,41.0 ,22.4 ,36.6 ,8.9 ,1.12,3.8 ,20.8 ,60.2 ,41.2 ,83.2 ,93.3 ,90.9 ,51.7 ,3336
2003,Tony Clark,Mets,.259,280,48.4 ,19.2 ,32.4 ,10.2 ,1.49,27.1 , , , , , , , ,182
2002,Eli Marrero,Cardinals,.277,446,34.9 ,21.0 ,44.1 ,13.3 ,0.79,12.6 , , , , , , , ,1166
2007,Orlando Cabrera,Angels,.319,701,43.3 ,17.9 ,38.8 ,13.8 ,1.12,3.6 ,31.6 ,60.5 ,46.8 ,71.5 ,91.7 ,85.2 ,52.6 ,766
2011,James Loney,Dodgers,.309,582,40.5 ,22.4 ,37.1 ,6.3 ,1.09,6.9 ,31.4 ,62.7 ,45.9 ,79.1 ,93.6 ,88.3 ,46.2 ,4556
2008,Aaron Rowand,Giants,.329,611,49.1 ,19.2 ,31.7 ,9.6 ,1.55,9.6 ,32.9 ,67.0 ,49.1 ,52.9 ,87.4 ,75.2 ,47.5 ,254
2003,Juan Pierre,Marlins,.320,747,58.1 ,22.3 ,19.6 ,6.4 ,2.96,0.9 , , , , , , , ,443
2009,Fred Lewis,Giants,.348,336,52.1 ,21.3 ,26.5 ,10.7 ,1.96,7.1 ,22.1 ,67.0 ,43.5 ,65.0 ,84.2 ,79.1 ,47.8 ,4693
2005,Craig Monroe,Tigers,.295,623,48.2 ,20.1 ,31.7 ,13.7 ,1.52,13.1 , , , , , , , ,1464
2011,Mark Trumbo,Angels,.274,573,45.7 ,15.9 ,38.4 ,17.3 ,1.19,17.9 ,41.0 ,66.6 ,52.9 ,66.0 ,84.7 ,76.9 ,46.5 ,6876
2004,Alex Cora,Dodgers,.272,484,45.9 ,16.9 ,37.2 ,14.7 ,1.24,7.4 , , , , , , , ,1386
2005,Travis Lee,Devil Rays,.300,441,43.3 ,22.0 ,34.7 ,6.8 ,1.25,10.3 , , , , , , , ,958
2004,Jose Cruz,Devil Rays,.267,636,36.3 ,16.9 ,46.9 ,15.8 ,0.77,10.3 , , , , , , , ,1296
2002,Rusty Greer,Rangers,.319,219,51.4 ,22.4 ,26.2 ,12.5 ,1.96,2.1 , , , , , , , ,1252
2002,Julio Franco,Braves,.346,383,56.6 ,25.7 ,17.7 ,0.0 ,3.19,12.8 , , , , , , , ,87
2005,Jeromy Burnitz,Cubs,.277,671,42.0 ,19.0 ,39.0 ,16.9 ,1.08,12.3 , , , , , , , ,867
2008,Kosuke Fukudome,Cubs,.304,590,50.6 ,19.1 ,30.2 ,4.2 ,1.68,8.3 ,21.2 ,59.2 ,40.2 ,66.4 ,91.2 ,84.6 ,49.9 ,3263
2006,Bernie Williams,Yankees,.294,462,50.1 ,18.2 ,31.6 ,8.5 ,1.58,10.2 , , , , , , , ,857
2007,Marcus Thames,Tigers,.261,284,38.4 ,15.7 ,46.0 ,16.5 ,0.84,19.8 ,38.9 ,70.4 ,54.8 ,58.0 ,80.3 ,72.4 ,50.4 ,1523
2009,Jason Giambi,- - -,.228,359,33.5 ,15.3 ,51.2 ,5.5 ,0.65,11.8 ,22.1 ,61.3 ,40.0 ,58.7 ,88.5 ,79.6 ,45.7 ,818
2009,Willy Aybar,Rays,.270,336,42.4 ,21.8 ,35.8 ,6.9 ,1.18,13.8 ,25.1 ,57.2 ,40.8 ,72.5 ,90.9 ,85.1 ,48.8 ,2192
2008,Jeff Kent,Dodgers,.294,474,40.3 ,23.1 ,36.7 ,7.0 ,1.10,8.4 ,25.0 ,70.9 ,48.9 ,63.3 ,90.0 ,83.5 ,52.1 ,1119
2005,Gary Matthews Jr.,Rangers,.280,526,51.2 ,17.6 ,31.3 ,12.4 ,1.64,14.0 , , , , , , , ,153
2010,Freddy Sanchez,Giants,.330,479,44.0 ,21.6 ,34.4 ,4.8 ,1.28,5.6 ,31.8 ,60.0 ,46.7 ,71.3 ,91.9 ,85.3 ,53.1 ,1624
2002,Gene Kingsale,- - -,.351,246,43.6 ,28.2 ,28.2 ,11.4 ,1.55,4.5 , , , , , , , ,1085
2002,Rob Mackowiak,Pirates,.311,439,44.7 ,18.4 ,36.8 ,11.2 ,1.21,16.3 , , , , , , , ,995
2010,Jason Kubel,Twins,.280,582,37.6 ,19.2 ,43.2 ,8.5 ,0.87,11.9 ,26.5 ,62.1 ,44.1 ,66.8 ,87.6 ,81.3 ,49.5 ,2161
2007,Esteban German,Royals,.307,405,52.5 ,20.1 ,27.5 ,0.0 ,1.91,5.1 ,18.3 ,58.6 ,38.8 ,72.6 ,93.5 ,88.7 ,51.0 ,1449
2002,Jose Cruz,Blue Jays,.277,522,39.1 ,21.3 ,39.6 ,9.1 ,0.99,12.6 , , , , , , , ,1296
2012,Alex Avila,Tigers,.313,434,46.4 ,23.8 ,29.8 ,2.5 ,1.56,11.4 ,20.7 ,58.7 ,39.2 ,51.6 ,82.1 ,73.8 ,48.6 ,7476
2010,Gregor Blanco,- - -,.353,269,54.4 ,19.5 ,26.0 ,2.3 ,2.09,2.3 ,20.0 ,54.6 ,38.7 ,67.7 ,94.6 ,88.2 ,54.0 ,3123
2005,Ben Broussard,Indians,.284,505,40.7 ,22.4 ,36.9 ,9.5 ,1.10,13.9 , , , , , , , ,312
2004,Chad Tracy,Diamondbacks,.309,532,35.0 ,20.7 ,44.4 ,10.1 ,0.79,4.2 , , , , , , , ,1888
2012,Todd Helton,Rockies,.260,283,40.7 ,25.1 ,34.2 ,7.4 ,1.19,10.3 ,19.3 ,58.0 ,39.3 ,83.6 ,88.4 ,87.3 ,51.7 ,432
2002,Vernon Wells,Blue Jays,.283,648,39.1 ,24.3 ,36.6 ,12.9 ,1.07,11.9 , , , , , , , ,1326
2004,Damian Miller,Athletics,.327,442,43.3 ,24.0 ,32.7 ,8.8 ,1.32,8.8 , , , , , , , ,65
2010,Jamey Carroll,Dodgers,.349,414,53.3 ,20.6 ,26.1 ,7.9 ,2.04,0.0 ,16.9 ,48.9 ,34.6 ,80.2 ,92.0 ,89.4 ,55.3 ,1591
2008,Howie Kendrick,Angels,.357,361,54.0 ,20.0 ,26.0 ,1.4 ,2.08,4.1 ,36.2 ,67.6 ,51.8 ,53.2 ,88.7 ,76.2 ,49.5 ,4229
2008,Garret Anderson,Angels,.314,593,42.5 ,21.2 ,36.3 ,12.5 ,1.17,8.5 ,37.9 ,59.3 ,47.5 ,73.8 ,90.6 ,83.2 ,44.9 ,2
2012,Ian Kinsler,Rangers,.270,731,37.6 ,20.1 ,42.2 ,14.2 ,0.89,7.9 ,24.5 ,60.1 ,42.9 ,71.5 ,94.0 ,87.8 ,51.6 ,6195
2003,Juan Encarnacion,Marlins,.283,653,42.0 ,21.6 ,36.4 ,15.3 ,1.15,10.0 , , , , , , , ,320
2010,Carlos Guillen,Tigers,.304,275,49.8 ,14.1 ,36.2 ,6.5 ,1.38,7.8 ,32.1 ,72.4 ,51.7 ,73.8 ,89.4 ,84.5 ,48.7 ,1079
2009,A.J. Pierzynski,White Sox,.312,535,47.3 ,20.0 ,32.7 ,7.4 ,1.44,8.7 ,41.0 ,74.0 ,56.9 ,80.6 ,93.0 ,88.3 ,48.2 ,746
2005,Brandon Inge,Tigers,.311,694,38.9 ,18.9 ,42.2 ,7.9 ,0.92,7.9 , , , , , , , ,470
2007,Joey Gathright,Royals,.365,261,65.5 ,22.8 ,11.7 ,10.0 ,5.60,0.0 ,27.6 ,67.3 ,48.6 ,73.7 ,88.0 ,84.2 ,52.9 ,3913
2010,Josh Thole,Mets,.305,227,44.3 ,22.7 ,33.0 ,1.7 ,1.34,5.2 ,23.9 ,58.7 ,41.4 ,74.0 ,96.5 ,90.0 ,50.2 ,9689
2005,Reed Johnson,Blue Jays,.320,439,50.6 ,22.6 ,26.8 ,10.8 ,1.89,9.6 , , , , , , , ,1702
2008,Nick Swisher,White Sox,.249,588,34.6 ,20.9 ,44.5 ,11.1 ,0.78,14.8 ,20.8 ,55.4 ,37.9 ,60.0 ,87.0 ,79.5 ,49.4 ,4599
2009,Jose Lopez,Mariners,.270,653,40.7 ,18.5 ,40.8 ,7.1 ,1.00,11.1 ,39.3 ,68.8 ,54.4 ,78.5 ,91.6 ,86.9 ,51.2 ,3114
2004,Omar Infante,Tigers,.308,556,34.6 ,19.8 ,45.5 ,14.0 ,0.76,8.9 , , , , , , , ,1609
2004,So Taguchi,Cardinals,.314,206,48.1 ,19.2 ,32.7 ,11.8 ,1.47,5.9 , , , , , , , ,1186
2004,John Olerud,- - -,.281,500,45.3 ,20.6 ,34.1 ,4.8 ,1.33,7.1 , , , , , , , ,1093
2012,Trevor Plouffe,Twins,.244,465,37.9 ,18.5 ,43.6 ,15.3 ,0.87,16.7 ,26.8 ,65.2 ,46.9 ,60.6 ,88.3 ,80.8 ,52.2 ,7462
2008,Mark Loretta,Astros,.297,297,36.6 ,27.2 ,36.2 ,5.9 ,1.01,4.7 ,20.0 ,63.7 ,44.0 ,76.4 ,91.7 ,88.5 ,54.8 ,1383
2011,Johnny Damon,Rays,.284,647,41.5 ,20.2 ,38.3 ,17.5 ,1.08,8.5 ,27.8 ,66.1 ,46.5 ,68.9 ,87.9 ,82.1 ,48.9 ,185
2003,Adam Kennedy,Angels,.293,510,31.6 ,26.5 ,42.0 ,8.3 ,0.75,8.3 , , , , , , , ,19
2005,Gregg Zaun,Blue Jays,.274,512,45.0 ,19.6 ,35.4 ,14.6 ,1.27,8.5 , , , , , , , ,580
2011,Miguel Cairo,Reds,.279,276,44.5 ,19.0 ,36.5 ,11.7 ,1.22,10.4 ,26.3 ,62.8 ,45.2 ,78.9 ,90.3 ,87.1 ,51.8 ,1412
2011,Endy Chavez,Rangers,.321,274,49.8 ,20.0 ,30.2 ,10.8 ,1.65,7.7 ,31.3 ,58.1 ,45.5 ,77.1 ,92.1 ,87.3 ,53.0 ,768
2002,Ramon Martinez,Giants,.296,200,32.1 ,25.0 ,42.9 ,11.9 ,0.75,6.0 , , , , , , , ,1120
2007,Luis Castillo,- - -,.325,615,66.7 ,14.9 ,18.4 ,6.7 ,3.63,1.1 ,21.7 ,44.2 ,34.0 ,89.5 ,97.9 ,95.4 ,54.7 ,513
2005,Damian Miller,Brewers,.337,431,49.7 ,25.5 ,24.8 ,4.1 ,2.00,12.3 , , , , , , , ,65
2004,Luis Castillo,Marlins,.325,649,65.0 ,16.6 ,18.4 ,5.6 ,3.53,2.2 , , , , , , , ,513
2007,Chris Young,Diamondbacks,.257,624,36.6 ,15.1 ,48.3 ,12.7 ,0.76,15.6 ,23.2 ,56.5 ,39.8 ,55.9 ,83.2 ,75.3 ,50.1 ,3882
2007,Mark Loretta,Astros,.308,511,41.5 ,22.1 ,36.5 ,8.6 ,1.14,2.6 ,27.0 ,61.9 ,45.1 ,85.3 ,94.8 ,92.1 ,52.0 ,1383
2008,Yadier Molina,Cardinals,.310,485,46.0 ,21.0 ,33.1 ,11.5 ,1.39,5.0 ,33.3 ,72.2 ,53.3 ,84.4 ,93.5 ,90.8 ,51.4 ,7007
2010,Jeff Baker,Cubs,.340,224,42.3 ,21.8 ,35.9 ,5.4 ,1.18,7.1 ,29.4 ,73.0 ,50.8 ,60.0 ,89.7 ,81.0 ,49.0 ,2073
2012,Josh Reddick,Athletics,.269,673,29.2 ,21.2 ,49.6 ,14.4 ,0.59,14.0 ,31.9 ,67.4 ,49.2 ,71.4 ,84.5 ,80.1 ,48.6 ,3892
2006,Hector Luna,- - -,.330,379,43.8 ,22.8 ,33.4 ,9.3 ,1.31,6.2 , , , , , , , ,1874
2002,Tony Batista,Orioles,.246,682,29.2 ,16.0 ,54.9 ,18.4 ,0.53,11.0 , , , , , , , ,124
2009,Chase Headley,Padres,.325,612,45.1 ,16.5 ,38.3 ,9.5 ,1.18,7.6 ,27.7 ,63.6 ,45.0 ,56.8 ,89.0 ,78.7 ,48.2 ,4720
2006,Jose Vidro,Nationals,.308,511,46.4 ,21.8 ,31.8 ,8.3 ,1.46,5.3 , , , , , , , ,802
2006,Jonny Gomes,Devil Rays,.244,461,29.1 ,16.9 ,54.0 ,10.7 ,0.54,13.3 , , , , , , , ,1845
2012,Michael Bourn,Braves,.349,703,53.6 ,21.9 ,24.5 ,1.8 ,2.19,8.0 ,22.5 ,58.9 ,40.7 ,57.7 ,86.3 ,78.4 ,50.1 ,6387
2003,Robin Ventura,- - -,.278,453,39.3 ,19.3 ,41.3 ,7.1 ,0.95,11.1 , , , , , , , ,854
2003,Julio Lugo,- - -,.311,556,48.8 ,20.5 ,30.6 ,10.2 ,1.59,12.7 , , , , , , , ,565
2010,Ryan Doumit,Pirates,.290,456,40.8 ,16.3 ,42.9 ,8.8 ,0.95,9.5 ,32.9 ,59.7 ,44.8 ,65.9 ,89.7 ,80.0 ,44.3 ,2113
2007,Jason Bay,Pirates,.292,614,38.0 ,16.5 ,45.4 ,9.8 ,0.84,11.4 ,26.3 ,57.8 ,42.2 ,62.0 ,79.3 ,73.9 ,50.5 ,1717
2008,Akinori Iwamura,Rays,.337,707,46.6 ,19.9 ,33.5 ,8.6 ,1.39,3.7 ,19.1 ,62.1 ,41.7 ,67.6 ,88.1 ,83.7 ,52.5 ,7781
2006,Jose Cruz,Dodgers,.281,273,35.7 ,14.0 ,50.3 ,16.3 ,0.71,5.8 , , , , , , , ,1296
2011,Alfonso Soriano,Cubs,.266,508,29.1 ,19.8 ,51.1 ,8.6 ,0.57,14.0 ,43.9 ,68.8 ,55.0 ,60.4 ,86.2 ,74.8 ,44.8 ,847
2006,Shea Hillenbrand,- - -,.290,566,45.6 ,20.0 ,34.4 ,11.5 ,1.32,13.4 , , , , , , , ,196
2003,Jerry Hairston,Orioles,.295,259,36.8 ,24.4 ,38.9 ,10.7 ,0.95,2.7 , , , , , , , ,144
2003,Robert Fick,Braves,.277,460,34.4 ,25.7 ,39.8 ,15.6 ,0.86,7.5 , , , , , , , ,466
2006,Johnny Estrada,Diamondbacks,.307,443,39.3 ,20.2 ,40.6 ,3.9 ,0.97,7.1 , , , , , , , ,955
2008,Jed Lowrie,Red Sox,.328,306,31.7 ,25.1 ,43.2 ,3.5 ,0.73,2.3 ,20.5 ,61.0 ,40.5 ,59.4 ,88.2 ,80.8 ,49.4 ,4418
2012,Luis Cruz,Dodgers,.320,296,39.2 ,23.6 ,37.2 ,12.9 ,1.05,6.5 ,39.4 ,68.7 ,54.1 ,74.0 ,90.5 ,84.5 ,50.3 ,3188
2002,Aaron Boone,Reds,.254,685,41.7 ,20.1 ,38.2 ,10.6 ,1.09,13.8 , , , , , , , ,311
2010,Jose Reyes,Mets,.301,603,42.7 ,17.6 ,39.8 ,13.8 ,1.07,5.6 ,29.8 ,59.2 ,44.1 ,75.9 ,92.8 ,86.9 ,48.6 ,1736
2012,Dan Uggla,Braves,.283,630,33.5 ,20.1 ,46.4 ,16.9 ,0.72,11.4 ,22.5 ,63.3 ,41.9 ,50.2 ,77.7 ,70.0 ,47.7 ,3442
2006,Luis Castillo,Twins,.324,652,61.5 ,17.7 ,20.8 ,13.1 ,2.95,2.8 , , , , , , , ,513
2005,Hank Blalock,Rangers,.294,705,38.5 ,25.2 ,36.2 ,10.1 ,1.06,13.3 , , , , , , , ,1419
2012,Brett Wallace,Astros,.331,254,38.2 ,26.8 ,35.0 ,9.1 ,1.09,16.4 ,31.2 ,63.0 ,45.3 ,46.2 ,80.6 ,67.4 ,44.3 ,8434
2006,Craig Wilson,- - -,.329,395,38.1 ,16.7 ,45.2 ,10.2 ,0.84,15.7 , , , , , , , ,1015
2010,Carlos Pena,Rays,.222,582,44.9 ,14.5 ,40.6 ,9.8 ,1.11,21.2 ,24.7 ,68.3 ,45.0 ,46.2 ,79.9 ,69.9 ,46.4 ,934
2005,Michael Cuddyer,Twins,.309,470,52.1 ,19.1 ,28.8 ,13.7 ,1.81,12.6 , , , , , , , ,1534
2008,Matt Stairs,- - -,.304,387,42.8 ,20.0 ,37.2 ,10.8 ,1.15,14.0 ,23.9 ,63.9 ,43.4 ,60.3 ,82.0 ,75.9 ,48.7 ,1384
2002,Luis Castillo,Marlins,.346,668,63.6 ,17.2 ,19.2 ,5.1 ,3.32,2.0 , , , , , , , ,513
2008,Brandon Boggs,Rangers,.303,334,39.5 ,23.7 ,36.8 ,4.3 ,1.07,11.4 ,22.5 ,51.9 ,38.0 ,58.7 ,84.6 ,77.3 ,52.5 ,8021
2002,Orlando Palmeiro,Angels,.324,300,44.0 ,21.6 ,34.4 ,13.3 ,1.28,0.0 , , , , , , , ,28
2008,Rich Aurilia,Giants,.306,440,41.0 ,17.9 ,41.0 ,12.5 ,1.00,6.9 ,28.8 ,62.5 ,46.0 ,68.5 ,91.2 ,84.3 ,51.1 ,1106
2004,Kenny Lofton,Yankees,.292,313,50.4 ,16.1 ,33.5 ,6.0 ,1.51,3.6 , , , , , , , ,246
2007,Mike Fontenot,Cubs,.325,260,47.1 ,19.4 ,33.5 ,1.6 ,1.41,4.7 ,26.3 ,58.7 ,42.7 ,62.6 ,88.0 ,80.3 ,50.7 ,3912
2011,Erick Aybar,Angels,.301,605,48.0 ,20.7 ,31.3 ,10.6 ,1.54,7.0 ,37.1 ,61.3 ,49.3 ,78.5 ,92.3 ,87.2 ,50.3 ,4082
2008,Ryan Sweeney,Athletics,.330,433,44.9 ,21.2 ,34.0 ,5.5 ,1.32,4.6 ,29.6 ,56.8 ,43.1 ,78.0 ,89.7 ,85.7 ,49.7 ,6352
2012,Chris Young,Diamondbacks,.263,363,30.9 ,22.0 ,47.2 ,12.9 ,0.66,12.1 ,22.0 ,58.7 ,40.3 ,54.3 ,91.9 ,81.7 ,50.1 ,3882
2012,Seth Smith,Athletics,.285,441,41.5 ,22.6 ,35.9 ,4.9 ,1.16,13.6 ,26.3 ,61.6 ,42.8 ,63.6 ,83.4 ,76.9 ,46.7 ,7331
2005,Ramon Castro,Mets,.295,240,35.9 ,19.0 ,45.1 ,17.4 ,0.80,11.6 , , , , , , , ,514
2011,Jerry Hairston,- - -,.301,376,39.0 ,20.3 ,40.7 ,16.1 ,0.96,4.2 ,28.0 ,60.4 ,44.4 ,76.1 ,92.3 ,87.3 ,50.7 ,144
2012,Brandon Phillips,Reds,.298,623,47.1 ,20.6 ,32.3 ,9.2 ,1.46,11.0 ,37.9 ,71.5 ,53.6 ,67.4 ,89.6 ,81.3 ,47.0 ,791
2011,Michael Bourn,- - -,.369,722,50.6 ,26.6 ,22.8 ,3.5 ,2.22,1.8 ,23.0 ,60.4 ,42.4 ,59.2 ,88.8 ,81.1 ,51.9 ,6387
2012,Raul Ibanez,Yankees,.243,425,41.4 ,19.4 ,39.2 ,8.8 ,1.06,15.2 ,28.6 ,61.4 ,44.1 ,67.1 ,86.7 ,80.0 ,47.4 ,607
2012,Logan Forsythe,Padres,.316,350,36.4 ,28.7 ,34.9 ,5.6 ,1.04,6.7 ,22.4 ,60.3 ,41.8 ,77.3 ,89.2 ,86.1 ,51.2 ,7185
2012,Denard Span,Twins,.315,568,54.4 ,21.3 ,24.3 ,10.2 ,2.24,3.7 ,20.0 ,55.4 ,39.1 ,79.8 ,96.4 ,92.5 ,54.1 ,8347
2003,Ben Broussard,Indians,.268,429,37.4 ,25.9 ,36.7 ,7.0 ,1.02,13.9 , , , , , , , ,312
2011,Jerry Sands,Dodgers,.319,227,45.2 ,16.4 ,38.4 ,3.6 ,1.18,7.1 ,28.0 ,63.3 ,45.2 ,66.7 ,83.4 ,78.1 ,48.7 ,4016
2009,Brendan Ryan,Cardinals,.332,429,51.5 ,18.9 ,29.6 ,13.1 ,1.74,3.0 ,30.0 ,61.7 ,46.4 ,68.0 ,90.5 ,83.4 ,51.6 ,6073
2008,Corey Hart,Brewers,.293,657,40.3 ,19.2 ,40.5 ,5.0 ,1.00,9.9 ,33.8 ,74.1 ,53.5 ,59.8 ,86.0 ,77.5 ,48.8 ,1945
2011,Shin-Soo Choo,Indians,.317,358,45.1 ,22.4 ,32.5 ,2.6 ,1.39,10.4 ,22.7 ,63.5 ,43.5 ,50.3 ,83.6 ,75.0 ,51.0 ,3174
2008,Felipe Lopez,- - -,.328,532,50.1 ,19.0 ,30.9 ,5.6 ,1.62,4.8 ,22.7 ,56.5 ,39.8 ,67.1 ,93.9 ,86.4 ,50.7 ,1311
2012,Jose Altuve,Astros,.321,630,52.7 ,20.2 ,27.1 ,1.5 ,1.94,5.1 ,29.4 ,56.5 ,43.7 ,80.7 ,95.1 ,90.6 ,52.8 ,5417
2007,Gregg Zaun,Blue Jays,.257,391,41.6 ,17.4 ,40.9 ,18.3 ,1.02,8.7 ,21.2 ,53.0 ,38.3 ,75.3 ,90.8 ,86.8 ,53.8 ,580
2002,John Vander Wal,Yankees,.323,245,39.3 ,22.1 ,38.7 ,6.3 ,1.02,9.5 , , , , , , , ,853
2002,Michael Tucker,Royals,.294,543,40.3 ,23.1 ,36.6 ,10.8 ,1.10,9.2 , , , , , , , ,635
2009,Brett Gardner,Yankees,.311,284,49.0 ,18.1 ,32.8 ,14.9 ,1.49,4.5 ,20.3 ,44.3 ,33.5 ,78.9 ,92.4 ,88.7 ,55.0 ,9927
2011,Jimmy Rollins,Phillies,.275,631,38.8 ,20.2 ,41.0 ,10.1 ,0.95,7.7 ,24.8 ,58.3 ,40.9 ,77.1 ,94.7 ,89.2 ,48.0 ,971
2006,Khalil Greene,Padres,.276,460,34.6 ,19.3 ,46.2 ,9.9 ,0.75,9.9 , , , , , , , ,1826
2002,Jose Vizcaino,Astros,.325,438,39.6 ,27.6 ,32.8 ,10.0 ,1.21,4.2 , , , , , , , ,577
2004,Shane Spencer,Mets,.329,204,45.0 ,18.8 ,36.2 ,3.7 ,1.24,7.4 , , , , , , , ,848
2010,Alexei Ramirez,White Sox,.300,626,48.0 ,18.7 ,33.3 ,12.0 ,1.44,10.8 ,35.7 ,63.3 ,49.1 ,68.6 ,93.1 ,84.0 ,48.6 ,5133
2011,Russell Martin,Yankees,.252,476,47.3 ,19.2 ,33.4 ,13.3 ,1.42,15.9 ,21.0 ,63.6 ,43.5 ,55.9 ,88.1 ,80.8 ,52.8 ,4616
2003,Scott Hatteberg,Athletics,.261,622,45.1 ,20.4 ,34.5 ,11.8 ,1.31,7.1 , , , , , , , ,916
2012,Wilson Betemit,Orioles,.336,376,40.2 ,25.3 ,34.4 ,4.8 ,1.17,14.5 ,33.8 ,60.2 ,45.9 ,55.1 ,84.6 ,72.8 ,45.9 ,1861
2011,Danny Espinosa,Nationals,.292,658,44.2 ,16.1 ,39.6 ,14.8 ,1.12,13.5 ,29.6 ,64.5 ,46.5 ,61.6 ,81.9 ,75.2 ,48.5 ,9219
2002,Tyler Houston,- - -,.329,345,48.0 ,19.1 ,32.8 ,11.9 ,1.46,8.3 , , , , , , , ,689
2004,Austin Kearns,Reds,.299,246,47.9 ,13.7 ,38.4 ,7.1 ,1.25,16.1 , , , , , , , ,332
2007,Sean Casey,Tigers,.318,496,46.0 ,20.6 ,33.4 ,9.4 ,1.38,2.9 ,35.3 ,57.7 ,45.3 ,81.7 ,95.5 ,89.6 ,44.7 ,314
2004,Tony Womack,Cardinals,.334,606,49.2 ,22.9 ,27.9 ,11.1 ,1.76,3.7 , , , , , , , ,78
2003,Torii Hunter,Twins,.262,642,47.2 ,19.0 ,33.8 ,13.6 ,1.40,16.0 , , , , , , , ,731
2004,Ty Wigginton,- - -,.281,545,44.6 ,19.9 ,35.6 ,6.1 ,1.25,11.6 , , , , , , , ,1491
2008,Adam Lind,Blue Jays,.317,349,50.9 ,18.8 ,30.3 ,4.9 ,1.68,11.0 ,35.7 ,62.7 ,49.2 ,73.1 ,90.8 ,84.4 ,50.0 ,8027
2007,Ross Gload,Royals,.301,346,49.8 ,19.0 ,31.1 ,10.0 ,1.60,7.8 ,37.4 ,74.2 ,56.9 ,79.2 ,91.6 ,87.8 ,53.1 ,1538
2010,Juan Uribe,Giants,.256,575,40.1 ,15.4 ,44.5 ,9.8 ,0.90,12.4 ,34.0 ,74.0 ,53.0 ,57.9 ,86.7 ,77.0 ,47.5 ,454
2011,Neil Walker,Pirates,.315,662,43.9 ,21.2 ,34.9 ,6.4 ,1.26,7.0 ,31.9 ,59.8 ,44.8 ,78.5 ,89.9 ,85.6 ,46.2 ,7539
2007,So Taguchi,Cardinals,.315,340,50.0 ,20.1 ,29.9 ,6.1 ,1.67,3.7 ,23.5 ,69.2 ,46.8 ,78.0 ,90.9 ,87.7 ,50.9 ,1186
2009,Ken Griffey Jr.,Mariners,.220,454,37.3 ,15.6 ,47.1 ,11.0 ,0.79,13.1 ,21.9 ,61.1 ,41.0 ,64.0 ,87.9 ,81.4 ,48.7 ,327
2004,Royce Clayton,Rockies,.343,652,57.7 ,16.2 ,26.1 ,9.0 ,2.22,7.2 , , , , , , , ,226
2004,Matthew LeCroy,Twins,.315,287,51.0 ,18.0 ,31.1 ,12.5 ,1.64,14.1 , , , , , , , ,1456
2006,Matt Stairs,- - -,.291,394,43.2 ,17.4 ,39.4 ,7.7 ,1.10,12.5 , , , , , , , ,1384
2009,Andy LaRoche,Pirates,.286,590,48.5 ,17.5 ,34.0 ,14.0 ,1.43,8.0 ,25.4 ,57.4 ,42.1 ,66.4 ,91.3 ,84.1 ,52.2 ,6444
2002,Craig Biggio,Astros,.289,655,48.0 ,18.2 ,33.8 ,15.8 ,1.42,9.5 , , , , , , , ,549
2009,Laynce Nix,Reds,.272,337,37.5 ,19.8 ,42.7 ,14.1 ,0.88,15.2 ,35.9 ,66.1 ,49.9 ,64.0 ,87.7 ,78.6 ,46.6 ,1766
2004,Ricky Ledee,- - -,.276,205,51.5 ,16.9 ,31.5 ,9.8 ,1.63,17.1 , , , , , , , ,1407
2006,Melvin Mora,Orioles,.300,705,39.1 ,20.0 ,40.8 ,10.8 ,0.96,7.5 , , , , , , , ,157
2005,Mark Kotsay,Athletics,.285,629,38.9 ,25.5 ,35.5 ,5.9 ,1.10,8.0 , , , , , , , ,1042
2008,Jarrod Saltalamacchia,Rangers,.385,230,31.2 ,27.2 ,41.6 ,9.6 ,0.75,5.8 ,26.5 ,64.3 ,44.3 ,53.2 ,79.6 ,71.2 ,47.0 ,5557
2003,Barry Larkin,Reds,.319,265,49.0 ,24.0 ,26.9 ,12.5 ,1.82,3.6 , , , , , , , ,335
2004,Bobby Crosby,Athletics,.278,623,44.4 ,17.5 ,38.0 ,13.6 ,1.17,14.3 , , , , , , , ,1818
2012,Coco Crisp,Athletics,.280,508,44.3 ,20.1 ,35.6 ,10.9 ,1.25,8.0 ,22.2 ,61.0 ,42.3 ,69.1 ,92.2 ,86.4 ,52.0 ,1572
2011,Laynce Nix,Nationals,.284,351,37.6 ,19.6 ,42.9 ,10.5 ,0.88,15.2 ,39.7 ,66.6 ,51.9 ,61.9 ,86.5 ,76.2 ,45.4 ,1766
